epoch,train_loss,train_acc,val_loss,val_acc,lr
5,0.177937,0.923699,0.13747,0.942109,0.0001
6,0.137497,0.941419,0.123906,0.94704,9.987820251299122e-05
7,0.124851,0.946768,0.11548,0.951187,9.951340343707852e-05
8,0.115881,0.950742,0.114747,0.951015,9.890738003669029e-05
9,0.109672,0.953587,0.110735,0.953219,9.806308479691595e-05
10,0.103182,0.956664,0.116981,0.951047,9.698463103929544e-05
11,0.097482,0.958992,0.113677,0.95248,9.567727288213005e-05
12,0.092156,0.961243,0.115147,0.952863,9.414737964294636e-05
13,0.08726,0.963315,0.124855,0.949607,9.24024048078213e-05
14,0.081642,0.966107,0.119431,0.951837,9.045084971874738e-05
